employee_id,timestamp,location,cpu,memory_percent,disk_percent,network_sent,network_received,process_count,is_suspicious
emp_1661,2025-05-15 13:07:33,Bahawalpur,43.62,62.92,49.94,159.1,121.78,50.93,0
emp_0722,2025-05-15 11:56:04,Bahawalpur,35.8,58.44,53.33,138.88,168.04,41.71,1
emp_0694,2025-05-15 16:14:08,Bahawalpur,33.13,59.46,53.9,112.1,60.97,87.43,0
emp_1529,2025-05-15 09:43:32,Bahawalpur,16.09,31.55,78.19,100.7,120.71,20.0,0
emp_0201,2025-05-15 13:53:06,Bahawalpur,10.26,51.11,57.44,71.67,179.54,50.74,0
emp_0341,2025-05-15 12:27:25,Bahawalpur,34.55,56.21,49.91,142.25,66.63,63.62,0
emp_1054,2025-05-15 16:43:05,Bahawalpur,30.55,57.4,58.55,146.3,123.89,75.4,0
emp_0152,2025-05-15 11:12:49,Bahawalpur,12.35,40.19,71.17,151.52,29.83,28.15,0
emp_1746,2025-05-15 09:14:22,Bahawalpur,14.6,50.67,71.69,134.55,10.0,21.54,0
emp_0956,2025-05-15 12:01:46,Bahawalpur,17.07,45.12,57.37,230.62,83.29,41.87,0
emp_1981,2025-05-15 15:14:18,Bahawalpur,44.68,20.0,48.1,111.83,149.58,23.81,0
emp_1869,2025-05-15 14:17:49,Bahawalpur,36.13,40.87,41.33,122.14,44.85,75.56,0
emp_1009,2025-05-15 14:44:06,Bahawalpur,48.66,45.59,68.48,97.85,139.41,38.33,0
emp_1480,2025-05-15 02:19:38,Rawalpindi,90.0,70.0,83.31,701.14,446.68,124.41,0
emp_1424,2025-05-15 09:29:45,Bahawalpur,47.32,40.21,41.77,82.55,83.56,34.31,0
emp_1720,2025-05-15 14:04:09,Bahawalpur,31.32,61.61,68.16,67.62,24.58,48.86,0
emp_1562,2025-05-15 13:46:26,Bahawalpur,35.95,48.69,51.44,122.7,110.04,42.78,0
emp_1842,2025-05-15 10:39:13,Bahawalpur,22.94,54.36,42.48,154.63,94.38,41.32,0
emp_1752,2025-05-15 13:53:34,Bahawalpur,49.66,27.71,52.49,60.49,160.83,41.96,0
emp_1539,2025-05-15 11:33:11,Bahawalpur,26.94,22.07,65.65,37.08,112.34,24.07,0
emp_1402,2025-05-15 12:17:35,Bahawalpur,29.42,59.65,54.35,91.15,62.85,56.29,0
emp_0971,2025-05-15 11:12:36,Bahawalpur,18.58,44.76,81.09,72.56,42.19,79.49,0
emp_0916,2025-05-15 16:07:12,Bahawalpur,36.64,22.09,79.93,52.54,141.14,22.83,0
emp_0777,2025-05-15 08:46:20,Islamabad,90.0,100.0,84.73,514.03,786.54,160.37,0
emp_0751,2025-05-15 15:58:59,Bahawalpur,62.94,29.87,73.09,74.99,187.87,42.61,0
emp_0428,2025-05-15 22:41:15,Islamabad,98.02,81.13,81.95,570.11,331.87,136.27,0
emp_1113,2025-05-15 20:54:18,Faisalabad,99.87,82.79,99.84,631.48,633.39,100.42,0
emp_1792,2025-05-15 12:43:39,Bahawalpur,15.01,28.03,30.0,104.02,56.19,45.0,0
emp_1637,2025-05-15 09:11:15,Bahawalpur,45.27,76.39,66.46,121.66,170.74,23.6,0
emp_1284,2025-05-15 14:27:58,Bahawalpur,36.43,68.47,85.85,62.24,72.94,56.01,0
emp_1108,2025-05-15 12:35:16,Bahawalpur,27.47,50.0,31.01,179.99,87.93,59.11,0
emp_0010,2025-05-15 13:44:25,Bahawalpur,24.18,52.56,62.41,100.15,121.85,73.81,0
emp_1517,2025-05-15 15:33:27,Bahawalpur,34.85,63.92,90.0,83.65,122.79,56.14,0
emp_0652,2025-05-15 14:55:07,Bahawalpur,24.59,51.52,64.08,226.13,48.06,23.83,0
emp_0711,2025-05-15 16:57:11,Bahawalpur,43.52,51.97,66.73,44.61,15.04,49.92,0
emp_0596,2025-05-15 21:27:52,Lahore,93.24,85.32,85.85,448.55,456.25,147.85,1
emp_0586,2025-05-15 08:32:59,Lahore,92.39,70.42,84.35,471.75,799.09,178.66,0
emp_0513,2025-05-15 11:31:49,Bahawalpur,24.26,57.14,43.57,36.86,95.29,52.04,0
emp_1153,2025-05-15 14:14:30,Bahawalpur,18.15,58.02,30.0,95.66,27.61,48.57,0
emp_1508,2025-05-15 09:47:34,Bahawalpur,23.35,41.43,56.18,114.61,97.15,24.1,1
emp_0044,2025-05-15 13:41:45,Bahawalpur,25.52,44.63,51.72,45.14,214.6,87.35,0
emp_0031,2025-05-15 12:28:23,Bahawalpur,9.65,53.35,68.28,134.01,10.0,34.77,0
emp_1414,2025-05-15 16:15:15,Bahawalpur,57.59,56.83,51.63,94.33,85.24,71.41,0
emp_1731,2025-05-15 10:39:07,Bahawalpur,15.53,31.91,53.64,123.27,75.35,67.9,0
emp_1295,2025-05-15 12:22:27,Bahawalpur,53.09,38.9,89.88,89.6,64.31,57.89,0
emp_1317,2025-05-15 14:42:38,Bahawalpur,27.91,70.41,52.92,90.23,81.41,43.38,0
emp_1991,2025-05-15 15:10:19,Bahawalpur,25.13,20.0,84.66,107.44,111.96,52.24,0
emp_0623,2025-05-15 10:26:18,Bahawalpur,41.26,35.73,46.17,33.23,44.98,72.57,0
emp_0952,2025-05-15 09:23:17,Bahawalpur,28.32,46.55,50.73,59.9,123.21,20.0,1
emp_0046,2025-05-15 16:09:05,Bahawalpur,19.71,62.3,45.74,134.8,74.17,29.53,0
emp_0345,2025-05-15 16:57:16,Bahawalpur,41.66,42.36,68.76,126.06,98.97,36.05,0
emp_0967,2025-05-15 09:03:09,Bahawalpur,15.59,55.82,88.42,75.58,118.16,70.41,0
emp_0070,2025-05-15 14:35:06,Bahawalpur,51.5,52.87,69.93,25.07,159.71,76.02,0
emp_0059,2025-05-15 13:52:24,Bahawalpur,49.0,35.43,58.3,72.24,50.62,64.83,0
emp_1190,2025-05-15 11:56:33,Bahawalpur,13.64,42.5,35.07,99.9,123.98,54.0,0
emp_1960,2025-05-15 02:01:06,Karachi,90.0,70.86,72.77,472.45,568.12,151.29,1
emp_1054,2025-05-15 16:55:28,Bahawalpur,33.47,41.74,74.65,43.15,146.9,33.21,1
emp_1565,2025-05-15 14:11:24,Bahawalpur,46.01,50.59,53.4,92.87,230.46,30.85,1
emp_0300,2025-05-15 13:51:48,Bahawalpur,7.11,38.44,80.88,108.49,118.44,62.49,0
emp_1137,2025-05-15 09:12:23,Bahawalpur,52.33,54.17,65.92,111.68,159.74,51.09,0
emp_0604,2025-05-15 11:22:49,Bahawalpur,25.42,57.93,60.35,70.49,146.55,51.41,0
emp_0683,2025-05-15 12:35:53,Bahawalpur,41.26,51.65,40.36,142.15,111.75,86.19,0
emp_0531,2025-05-15 13:16:34,Bahawalpur,42.25,37.37,30.0,89.77,10.0,29.4,0
emp_1780,2025-05-15 11:48:17,Bahawalpur,19.86,49.17,69.71,196.48,84.17,72.55,1
emp_0177,2025-05-15 10:01:10,Bahawalpur,6.28,29.99,50.5,113.29,70.23,38.29,0
emp_0048,2025-05-15 13:43:22,Bahawalpur,44.2,50.83,66.34,76.69,81.64,55.75,0
emp_0786,2025-05-15 10:36:11,Bahawalpur,37.05,57.97,73.45,126.92,147.65,56.88,0
emp_1984,2025-05-15 12:53:43,Bahawalpur,40.86,44.04,33.66,134.73,102.22,55.29,0
emp_1065,2025-05-15 16:48:53,Bahawalpur,23.1,43.4,83.86,119.74,106.8,33.69,0
emp_1789,2025-05-15 11:27:26,Bahawalpur,24.62,36.94,80.83,182.26,80.37,23.08,0
emp_1219,2025-05-15 13:46:18,Bahawalpur,24.32,68.75,51.53,97.35,113.29,34.3,0
emp_0106,2025-05-15 14:44:03,Bahawalpur,55.29,68.49,74.39,137.89,35.49,63.26,0
emp_1712,2025-05-15 13:54:51,Bahawalpur,13.22,45.71,55.34,205.02,60.85,27.53,0
emp_0409,2025-05-15 12:55:04,Bahawalpur,46.61,40.14,78.07,139.4,193.14,20.0,0
emp_0785,2025-05-15 10:38:52,Bahawalpur,49.47,31.94,53.96,10.0,40.19,87.62,0
emp_0994,2025-05-15 13:15:40,Bahawalpur,51.34,37.0,54.69,12.79,145.83,32.72,0
emp_1018,2025-05-15 14:45:22,Bahawalpur,30.88,71.96,65.57,138.91,98.46,79.52,0
emp_0314,2025-05-15 16:09:27,Bahawalpur,27.26,54.4,44.19,139.93,119.46,34.52,0
emp_1498,2025-05-15 16:41:21,Bahawalpur,10.77,56.29,55.27,164.25,162.63,79.76,0
emp_1743,2025-05-15 14:35:21,Bahawalpur,45.75,62.5,66.58,30.91,184.14,59.63,0
emp_0213,2025-05-15 14:28:59,Bahawalpur,28.7,52.0,47.2,75.02,91.68,63.93,0
emp_0447,2025-05-15 05:28:29,Karachi,94.39,94.48,70.93,482.27,561.78,108.57,0
emp_0426,2025-05-15 14:48:14,Bahawalpur,22.09,44.55,73.21,142.08,74.48,36.55,0
emp_0838,2025-05-15 13:05:03,Bahawalpur,41.2,59.83,50.11,91.38,17.87,30.84,0
emp_1868,2025-05-15 10:25:04,Bahawalpur,51.92,53.05,68.97,153.41,144.8,63.19,0
emp_0234,2025-05-15 12:36:15,Bahawalpur,48.49,50.0,61.0,65.37,153.35,84.76,0
emp_1163,2025-05-15 12:44:54,Bahawalpur,19.48,35.19,70.74,154.93,66.48,40.13,0
emp_1841,2025-05-15 12:07:02,Bahawalpur,30.84,47.89,46.5,94.26,127.76,32.96,0
emp_0640,2025-05-15 15:16:38,Bahawalpur,25.9,56.55,42.72,70.0,177.62,20.0,1
emp_0120,2025-05-15 10:09:36,Bahawalpur,16.71,49.66,69.78,123.15,66.25,73.95,0
emp_0402,2025-05-15 18:19:43,Rawalpindi,100.0,82.11,92.31,385.15,705.82,138.48,1
emp_0177,2025-05-15 10:06:10,Bahawalpur,12.95,73.55,60.72,154.37,152.24,30.64,0
emp_1875,2025-05-15 15:01:43,Bahawalpur,38.83,80.0,76.58,17.81,121.87,56.92,0
emp_0374,2025-05-15 10:34:16,Bahawalpur,27.81,31.19,62.21,98.74,65.27,53.03,0
emp_1023,2025-05-15 13:11:32,Bahawalpur,30.43,52.79,65.98,118.8,52.07,20.0,0
emp_0140,2025-05-15 12:10:53,Bahawalpur,5.0,23.73,69.5,124.39,106.84,32.4,0
emp_1135,2025-05-15 11:35:17,Bahawalpur,30.13,22.36,45.74,89.65,114.11,76.52,0
emp_1200,2025-05-15 20:28:18,Islamabad,96.66,84.77,91.04,878.73,539.71,144.46,1
emp_1085,2025-05-15 12:02:53,Bahawalpur,28.06,45.94,61.03,58.19,117.21,54.25,0
emp_0591,2025-05-15 13:42:22,Bahawalpur,41.62,51.26,51.81,164.14,165.33,33.85,0
emp_0183,2025-05-15 11:27:35,Bahawalpur,23.39,31.66,50.85,85.92,183.36,93.9,0
emp_1410,2025-05-15 12:30:46,Bahawalpur,35.27,35.39,52.83,112.4,128.34,20.0,0
emp_0254,2025-05-15 12:25:38,Bahawalpur,47.46,50.49,54.46,31.59,65.27,74.16,0
emp_0949,2025-05-15 01:57:53,Lahore,100.0,83.49,88.93,300.0,537.36,186.42,0
emp_1860,2025-05-15 13:32:17,Bahawalpur,44.3,60.01,60.11,188.13,142.14,57.9,0
emp_1660,2025-05-15 11:27:46,Bahawalpur,5.0,79.94,56.63,59.06,121.63,66.17,0
emp_1601,2025-05-15 09:33:22,Bahawalpur,14.99,50.94,87.63,52.19,114.41,73.75,0
emp_0101,2025-05-15 02:08:48,Lahore,100.0,97.13,80.86,411.05,589.66,123.82,1
emp_0079,2025-05-15 11:29:59,Bahawalpur,62.03,44.95,55.38,82.66,67.76,35.41,0
emp_0779,2025-05-15 10:31:18,Bahawalpur,46.24,41.03,53.77,50.62,75.27,52.51,0
emp_0296,2025-05-15 12:01:31,Bahawalpur,59.94,53.71,45.24,58.01,173.63,63.68,0
emp_1787,2025-05-15 07:58:24,Islamabad,95.77,99.92,86.45,887.38,701.41,169.86,1
emp_0615,2025-05-15 12:27:16,Bahawalpur,33.44,44.46,79.95,49.21,66.28,46.57,0
emp_1381,2025-05-15 12:48:51,Bahawalpur,57.36,43.73,60.23,98.71,104.07,52.51,0
emp_1215,2025-05-15 09:11:39,Bahawalpur,39.52,59.86,56.27,132.98,109.43,62.01,0
emp_1146,2025-05-15 10:38:16,Bahawalpur,32.64,43.73,59.23,179.98,10.0,68.43,0
emp_0496,2025-05-15 13:20:29,Bahawalpur,72.37,44.72,59.8,56.77,10.0,55.31,0
emp_0861,2025-05-15 13:52:04,Bahawalpur,25.16,30.28,38.11,44.58,104.16,40.83,0
emp_0252,2025-05-15 12:11:11,Bahawalpur,8.34,20.8,45.73,79.62,159.8,44.39,0
emp_0298,2025-05-15 09:08:19,Bahawalpur,17.72,55.28,76.64,58.72,65.9,54.98,0
emp_1739,2025-05-15 16:39:56,Bahawalpur,40.56,64.8,65.51,125.82,219.76,39.33,0
emp_0355,2025-05-15 09:08:22,Bahawalpur,14.21,51.29,81.68,70.54,143.26,65.03,0
emp_0114,2025-05-15 15:08:07,Bahawalpur,11.22,50.32,72.44,107.74,114.47,72.84,0
emp_1049,2025-05-15 10:30:51,Bahawalpur,27.26,26.31,65.78,56.86,97.09,45.89,0
emp_0554,2025-05-15 14:12:51,Bahawalpur,17.04,44.38,69.81,117.69,102.63,29.12,0
emp_0968,2025-05-15 10:55:21,Bahawalpur,31.8,40.45,76.47,90.8,163.78,37.42,0
emp_1421,2025-05-15 16:41:17,Bahawalpur,33.58,70.86,59.52,10.0,89.99,25.69,1
emp_1184,2025-05-15 10:22:08,Bahawalpur,16.34,68.7,55.21,145.09,78.5,33.98,0
emp_1422,2025-05-15 15:55:49,Bahawalpur,50.31,63.95,64.0,58.7,58.17,54.47,0
emp_1101,2025-05-15 11:14:03,Bahawalpur,23.71,57.65,60.52,60.59,127.49,45.34,0
emp_1556,2025-05-15 09:08:41,Bahawalpur,35.75,40.27,77.5,191.47,89.72,69.09,0
emp_0989,2025-05-15 09:39:28,Bahawalpur,44.2,67.23,30.0,15.46,99.34,23.26,0
emp_1625,2025-05-15 01:51:26,Islamabad,94.72,85.56,86.12,300.0,820.99,178.58,0
emp_1836,2025-05-15 11:35:39,Bahawalpur,41.72,41.0,61.97,134.89,54.98,60.38,0
emp_0009,2025-05-15 10:48:13,Bahawalpur,13.62,45.25,78.2,107.09,215.97,57.87,0
emp_0681,2025-05-15 10:12:21,Bahawalpur,5.0,57.35,55.48,70.34,173.51,73.23,0
emp_1624,2025-05-15 16:50:53,Bahawalpur,20.88,24.5,64.39,112.9,71.9,58.75,0
emp_1206,2025-05-15 13:00:06,Bahawalpur,16.62,52.54,72.16,129.39,68.11,35.5,0
emp_0988,2025-05-15 13:36:53,Bahawalpur,17.07,58.79,37.62,30.23,51.64,56.73,0
emp_0104,2025-05-15 11:46:10,Bahawalpur,25.15,46.6,73.83,93.51,151.19,80.76,0
emp_1451,2025-05-15 16:15:35,Bahawalpur,17.85,39.53,39.35,91.72,88.33,47.48,1
emp_0414,2025-05-15 14:40:59,Bahawalpur,23.5,56.34,77.05,142.66,10.0,56.68,0
emp_1197,2025-05-15 09:13:25,Bahawalpur,35.13,47.13,74.88,58.36,122.73,52.91,0
emp_1872,2025-05-15 12:07:14,Bahawalpur,21.11,40.76,62.95,48.68,89.52,43.32,0
emp_1911,2025-05-15 14:57:34,Bahawalpur,13.96,65.49,55.97,100.75,124.84,68.92,1
emp_1814,2025-05-15 10:36:04,Bahawalpur,55.64,67.05,54.06,97.92,79.33,66.15,1
emp_0813,2025-05-15 09:35:08,Bahawalpur,10.27,57.2,83.27,199.35,136.73,50.37,0
emp_1231,2025-05-15 15:26:31,Bahawalpur,30.73,55.22,63.0,39.24,135.23,71.94,0
emp_1533,2025-05-15 13:22:03,Bahawalpur,14.58,48.03,53.7,95.78,117.0,37.28,0
emp_1258,2025-05-15 15:21:23,Bahawalpur,25.62,67.3,30.0,53.86,65.7,84.46,0
emp_1825,2025-05-15 16:26:39,Bahawalpur,26.97,49.23,30.0,140.91,128.38,48.98,0
emp_1069,2025-05-15 11:36:25,Bahawalpur,31.99,45.39,71.44,153.87,79.09,60.22,0
emp_1036,2025-05-15 11:21:26,Bahawalpur,26.29,41.57,49.27,136.87,161.54,95.19,0
emp_1846,2025-05-15 13:20:39,Bahawalpur,15.51,50.98,78.82,140.54,132.93,33.1,0
emp_1214,2025-05-15 12:09:24,Bahawalpur,19.32,71.49,82.39,175.45,83.76,20.0,0
emp_0264,2025-05-15 09:47:25,Bahawalpur,18.81,33.47,51.19,159.54,14.52,25.68,0
emp_1164,2025-05-15 16:34:38,Bahawalpur,30.91,36.95,43.17,88.98,161.56,66.87,0
emp_0220,2025-05-15 11:23:29,Bahawalpur,23.31,48.23,59.39,158.8,176.01,63.01,0
emp_0615,2025-05-15 13:59:10,Bahawalpur,8.48,79.49,43.98,50.5,10.0,42.05,0
emp_0908,2025-05-15 15:33:40,Bahawalpur,43.01,47.97,54.41,77.48,136.62,57.89,0
emp_1360,2025-05-15 01:55:35,Islamabad,98.88,84.25,77.92,565.21,393.1,199.71,0
emp_1574,2025-05-15 13:33:49,Bahawalpur,21.04,32.7,55.23,141.5,62.28,62.02,0
emp_0627,2025-05-15 16:29:16,Bahawalpur,32.79,51.38,51.13,133.51,126.8,85.73,0
emp_1829,2025-05-15 11:44:02,Bahawalpur,25.4,49.96,87.1,194.48,143.72,54.2,0
emp_0526,2025-05-15 09:55:41,Bahawalpur,10.51,61.9,42.72,87.19,110.49,69.1,0
emp_0422,2025-05-15 10:27:47,Bahawalpur,22.58,68.33,73.7,113.54,17.01,55.9,0
emp_0271,2025-05-15 16:42:13,Bahawalpur,46.02,41.8,64.85,69.66,195.06,45.58,0
emp_0623,2025-05-15 10:27:05,Bahawalpur,57.45,47.0,79.43,137.02,188.84,46.05,0
emp_0699,2025-05-15 06:59:41,Lahore,94.76,70.0,96.48,300.0,598.08,159.62,1
emp_1108,2025-05-15 09:50:47,Bahawalpur,20.68,46.23,75.1,111.27,131.63,83.63,0
emp_1612,2025-05-15 09:44:00,Bahawalpur,14.99,60.95,60.6,105.82,106.0,62.19,0
emp_1963,2025-05-15 12:01:58,Bahawalpur,20.23,51.03,40.17,15.68,193.32,32.66,0
emp_1760,2025-05-15 14:13:39,Bahawalpur,25.43,59.16,72.26,71.6,107.75,90.82,0
emp_1259,2025-05-15 10:06:39,Bahawalpur,46.35,35.28,48.64,165.21,146.46,59.89,0
emp_1371,2025-05-15 14:26:58,Bahawalpur,46.65,24.32,53.57,10.0,91.17,37.21,1
emp_0846,2025-05-15 12:40:31,Bahawalpur,40.27,38.71,53.73,111.35,65.3,20.26,0
emp_1766,2025-05-15 11:10:12,Bahawalpur,32.32,37.93,90.0,139.52,127.65,57.6,0
emp_1451,2025-05-15 15:26:42,Bahawalpur,29.27,33.38,52.34,44.17,110.51,32.44,0
emp_0076,2025-05-15 16:29:26,Bahawalpur,18.43,42.46,44.31,89.55,79.65,87.02,0
emp_1976,2025-05-15 21:23:19,Faisalabad,97.55,82.05,87.29,698.62,615.88,158.21,0
emp_0027,2025-05-15 16:14:34,Bahawalpur,34.75,36.72,62.72,165.16,129.31,41.75,1
emp_0688,2025-05-15 17:30:49,Rawalpindi,96.94,100.0,77.71,300.0,553.69,100.0,0
emp_1639,2025-05-15 09:58:57,Bahawalpur,16.67,29.58,52.28,121.01,151.76,39.73,0
emp_0822,2025-05-15 09:33:40,Bahawalpur,18.59,64.84,72.35,88.01,77.33,40.09,0
emp_0267,2025-05-15 15:22:06,Bahawalpur,5.0,55.83,41.43,62.2,101.94,46.24,0
emp_0042,2025-05-15 14:54:17,Bahawalpur,10.19,61.57,60.02,22.78,124.64,66.67,0
emp_0464,2025-05-15 09:52:40,Bahawalpur,18.57,36.23,68.24,157.91,126.61,82.06,0
emp_0900,2025-05-15 02:43:51,Karachi,90.0,71.17,74.15,433.77,482.49,128.92,1
emp_0276,2025-05-15 12:50:19,Bahawalpur,25.48,75.92,68.98,116.14,141.51,78.41,1
emp_0784,2025-05-15 09:03:24,Bahawalpur,35.4,50.04,65.87,37.63,126.96,38.68,0
emp_0365,2025-05-15 11:47:41,Bahawalpur,41.58,63.48,71.65,156.35,108.37,71.44,0
emp_1181,2025-05-15 10:08:35,Bahawalpur,26.64,66.19,62.02,139.83,49.17,84.51,0
emp_1575,2025-05-15 15:52:54,Bahawalpur,34.63,34.98,47.46,98.13,10.0,46.98,0
emp_0428,2025-05-15 01:23:55,Karachi,97.67,86.99,100.0,587.98,766.27,200.0,1
emp_1375,2025-05-15 12:25:47,Bahawalpur,28.44,52.95,74.12,86.96,101.23,20.0,0
emp_1679,2025-05-15 09:39:29,Bahawalpur,26.65,57.09,34.61,134.13,38.47,31.93,0
emp_0851,2025-05-15 15:33:51,Bahawalpur,39.58,64.95,62.32,16.03,208.67,70.63,0
emp_0408,2025-05-15 15:19:07,Bahawalpur,41.32,39.12,48.22,89.23,95.65,40.61,0
emp_1591,2025-05-15 13:16:39,Bahawalpur,9.27,47.41,47.62,66.99,104.98,20.0,0
emp_0097,2025-05-15 15:13:39,Bahawalpur,37.48,54.12,60.35,151.36,39.61,82.7,0
emp_0652,2025-05-15 14:33:05,Bahawalpur,26.04,43.08,59.77,96.24,105.84,45.14,0
emp_0614,2025-05-15 16:37:00,Bahawalpur,21.06,35.75,69.88,99.56,55.29,56.73,0
emp_0227,2025-05-15 16:22:25,Bahawalpur,46.17,72.94,62.3,86.97,27.82,52.16,0
emp_0936,2025-05-15 17:52:37,Lahore,100.0,92.41,84.26,457.38,637.04,146.37,1
emp_1923,2025-05-15 09:02:30,Bahawalpur,26.8,47.15,56.35,83.04,145.79,25.98,0
emp_1103,2025-05-15 15:23:07,Bahawalpur,16.58,42.31,55.83,88.19,110.71,60.65,0
emp_0993,2025-05-15 12:13:02,Bahawalpur,50.03,47.8,37.76,54.79,24.69,27.72,0
emp_0183,2025-05-15 11:59:43,Bahawalpur,34.92,39.5,83.97,14.96,123.79,24.45,0
emp_0437,2025-05-15 07:42:13,Rawalpindi,93.69,83.89,98.64,925.47,378.81,158.66,1
emp_0475,2025-05-15 15:41:11,Bahawalpur,5.0,49.82,55.9,170.65,79.4,69.59,0
emp_1341,2025-05-15 15:22:38,Bahawalpur,43.12,41.77,57.67,89.63,131.84,70.2,0
emp_0268,2025-05-15 21:05:28,Faisalabad,100.0,83.89,90.46,853.32,814.63,149.79,1
emp_0167,2025-05-15 04:56:24,Faisalabad,98.55,87.99,100.0,704.87,822.84,162.06,0
emp_0267,2025-05-15 11:16:29,Bahawalpur,24.46,58.48,54.79,181.28,61.15,65.08,0
emp_0564,2025-05-15 14:12:42,Bahawalpur,21.84,36.97,60.27,138.77,121.87,31.85,1
emp_0045,2025-05-15 11:36:48,Bahawalpur,12.46,39.19,90.0,48.1,32.31,64.69,0
emp_0910,2025-05-15 11:08:43,Bahawalpur,29.81,67.39,50.52,79.01,135.91,43.77,1
emp_1320,2025-05-15 09:31:58,Bahawalpur,25.72,62.97,61.08,77.32,165.67,23.51,0
emp_0562,2025-05-15 16:08:42,Bahawalpur,19.35,45.73,69.25,226.21,163.01,80.4,0
emp_1164,2025-05-15 14:18:42,Bahawalpur,43.46,26.8,53.49,108.76,106.63,31.01,0
emp_1530,2025-05-15 15:25:16,Bahawalpur,40.55,29.83,90.0,115.01,10.0,55.76,0
emp_1724,2025-05-15 14:38:14,Bahawalpur,21.68,41.62,66.31,102.27,29.38,77.05,0
emp_1589,2025-05-15 03:54:02,Faisalabad,94.37,73.77,80.35,527.92,420.81,159.45,1
emp_0779,2025-05-15 14:15:26,Bahawalpur,26.33,52.05,69.0,111.0,65.79,48.77,0
emp_1928,2025-05-15 10:10:04,Bahawalpur,25.4,53.82,90.0,173.02,99.66,66.31,0
emp_1691,2025-05-15 16:10:49,Bahawalpur,20.31,40.4,66.57,113.35,43.71,52.53,0
emp_0530,2025-05-15 14:35:09,Bahawalpur,59.13,48.92,67.69,108.13,80.15,68.21,0
emp_0280,2025-05-15 16:03:20,Bahawalpur,21.2,80.0,55.27,75.99,71.87,40.6,0
emp_1425,2025-05-15 11:21:31,Bahawalpur,5.0,36.94,58.88,137.16,174.08,76.16,0
emp_1939,2025-05-15 12:01:48,Bahawalpur,32.61,75.82,63.09,52.92,97.3,57.63,0
emp_0793,2025-05-15 14:25:19,Bahawalpur,37.65,20.0,52.34,128.73,69.58,30.91,0
